# Number of wavelengths (nwvl):
 158
# Number of radius (nsize):
   50
# Wavelength axis (wvl):
 0.899494E+00 0.834133E+00 0.774816E+00 0.720405E+00 0.671286E+00
 0.631387E+00 0.587601E+00 0.550956E+00 0.517567E+00 0.487634E+00
 0.459434E+00 0.433382E+00 0.408949E+00 0.387058E+00 0.366532E+00
 0.346665E+00 0.328361E+00 0.311248E+00 0.294595E+00 0.279193E+00
 0.264881E+00 0.250784E+00 0.238395E+00 0.225990E+00 0.214557E+00
 0.203339E+00 0.192355E+00 0.182472E+00 0.173138E+00 0.164405E+00
 0.155994E+00 0.147754E+00 0.139644E+00 0.132475E+00 0.125328E+00
 0.119085E+00 0.112784E+00 0.106628E+00 0.100500E+00 0.971491E-01
 0.931300E-01 0.918183E-01 0.865044E-01 0.786730E-01 0.730411E-01
 0.696078E-01 0.651361E-01 0.630480E-01 0.558628E-01 0.545921E-01
 0.485708E-01 0.470170E-01 0.217431E+00 0.692241E+00 0.147723E+01
 0.105943E+01 0.178598E+00 0.180905E+00 0.863338E-01 0.733040E-01
 0.660513E-01 0.606963E-01 0.564594E-01 0.528635E-01 0.497940E-01
 0.471358E-01 0.447368E-01 0.425561E-01 0.405917E-01 0.387383E-01
 0.370157E-01 0.354083E-01 0.340370E-01 0.326586E-01 0.314506E-01
 0.301803E-01 0.290060E-01 0.279559E-01 0.269392E-01 0.259441E-01
 0.250026E-01 0.240937E-01 0.232710E-01 0.224529E-01 0.216874E-01
 0.918172E-02 0.456683E-02 0.252168E-02 0.150765E-02 0.948333E-03
 0.628163E-03 0.430004E-03 0.304058E-03 0.221928E-03 0.164653E-03
 0.123519E-03 0.151491E-02 0.569808E-02 0.340816E-01 0.171980E-01
 0.334692E-02 0.596902E-03 0.318914E-04 0.113137E-02 0.184662E-03
 0.148037E-03 0.155613E-04 0.531389E-04 0.317173E-03 0.139439E-02
 0.520344E-02 0.179569E-01 0.177186E-01 0.634618E-02 0.515036E-04
 0.564729E-05 0.144953E-03 0.136001E-02 0.226462E-02 0.176450E-02
 0.703211E-03 0.268353E-05 0.245742E-05 0.225643E-05 0.108278E-05
 0.637256E-06 0.439780E-06 0.341249E-06 0.287634E-06 0.256563E-06
 0.237564E-06 0.225306E-06 0.217247E-06 0.211693E-06 0.207818E-06
 0.204967E-06 0.202926E-06 0.201374E-06 0.200196E-06 0.199284E-06
 0.198596E-06 0.197971E-06 0.197503E-06
# Radius number     7
 0.208779E+01 0.953197E+00 0.431035E+01 0.321849E+01 0.275151E+01
 0.246937E+01 0.226008E+01 0.208739E+01 0.194254E+01 0.181709E+01
 0.170529E+01 0.160441E+01 0.151048E+01 0.142114E+01 0.133800E+01
 0.125639E+01 0.117867E+01 0.110477E+01 0.103375E+01 0.966996E+00
 0.911318E+00 0.848077E+00 0.794318E+00 0.744834E+00 0.700322E+00
 0.658454E+00 0.620022E+00 0.584307E+00 0.552705E+00 0.523425E+00
 0.495395E+00 0.469883E+00 0.446270E+00 0.423442E+00 0.402495E+00
 0.383137E+00 0.364071E+00 0.347433E+00 0.330688E+00 0.315258E+00
 0.300031E+00 0.285098E+00 0.271591E+00 0.258773E+00 0.246728E+00
 0.235046E+00 0.223498E+00 0.212080E+00 0.201929E+00 0.191705E+00
 0.182774E+00 0.173663E+00 0.164690E+00 0.155710E+00 0.149979E+00
 0.143628E+00 0.140525E+00 0.132698E+00 0.121879E+00 0.113313E+00
 0.107570E+00 0.100353E+00 0.958355E-01 0.850905E-01 0.806090E-01
 0.699937E-01 0.628623E-01 0.250990E+00 0.775339E+00 0.167768E+01
 0.138248E+01 0.275327E+00 0.256423E+00 0.140770E+00 0.119371E+00
 0.107546E+00 0.988450E-01 0.919784E-01 0.861663E-01 0.812026E-01
 0.769085E-01 0.730331E-01 0.695099E-01 0.663370E-01 0.633455E-01
 0.605585E-01 0.579564E-01 0.557411E-01 0.535086E-01 0.515551E-01
 0.494961E-01 0.475896E-01 0.458862E-01 0.442351E-01 0.426165E-01
 0.410845E-01 0.396065E-01 0.382672E-01 0.369334E-01 0.356851E-01
 0.151907E-01 0.757067E-02 0.418386E-02 0.250244E-02 0.157432E-02
 0.104290E-02 0.713915E-03 0.504801E-03 0.368433E-03 0.273323E-03
 0.205014E-03 0.177182E-02 0.651955E-02 0.387987E-01 0.196044E-01
 0.383459E-02 0.699757E-03 0.528686E-04 0.130005E-02 0.221390E-03
 0.177859E-03 0.257425E-04 0.671513E-04 0.366090E-03 0.158911E-02
